ID	TITLE	COMMENT	RATING	SENTIMEN
1611	Banyak kekurangan	Tidak seperti di iphone menunya kurang, jadwal sepak bola tanggalnya 2013... Perbaiki lagi	1	Negative
1612	Need update!	Kurang bersahabat ama VoiceOver nih. Semoga hal ini bisa menjadi perhatian pada update berikutnya. Sekalian dong tambahin menu buat contact developer nya.	4	Negative
1613	Baru seperti ini sudah puas?	Hampir setahun belum ada update, UI tidak ada perkembangan (apalagi fitur tambahan), crash tidak ada perbaikan. Rate 1 star dan uninstall.	1	Negative
1614	Crash melulu	Mohon appnya diperbaiki.. Crashnya ga ketolongan..	1	Negative
1615	Sampah	Aplikasi sampah, crash mulu,errorny banyak,ga dibenerin lagi	1	Negative
1616	Selaras	Untuk memuat berita yg tak berbobot, dibutuhkan user interface yg murahan juga. Sangat selaras.	1	Negative
1617	Crash!	Sekarang crash melulu kerjaannya... Fix this please!	1	Negative
1618	Kepotong	Kenapa selalu berita terpotong?untuk iPad,iPhone,ataupun Blackberry?dan kita harus browsing?lalu untuk apa aplikasi ini?	1	Negative
1619	Majalah digital indo terbaik	Thanks for making this great ebook for indonesian, keep it up detik!!	5	Positive
1620	Full of bug	Bagus sayang buggy gk ketulungan	2	Negative
1621	Bagus	thank ya udah ada yg versi ipad.... Hehheheheheh	5	Positive
1622	Detik bola	Kok detikbola ga ada di detik for ipad ?	5	Negative
1624	Aplikasi yg bermanfaat	Asslamuallaikum, sebenarnya aplikasi ini bagus banget dan bermanfaat secara keseluruhan sudah baik tapi masih ada beberapa hal yg bisa di perbaiki contohnya setiap akan mendownload audio selalu crash..dan ukuran huruf tidak bisa di perbesar dengan cara di pinch..mdh2an ke depannya bisa diperbaiki bug tsb..semoga seluruh tim senantiasa diberikan kesehatan dan ke ikhlaskan untuk selalu berbuat yg bermanfaat untuk ummat..terima kasih.wassalamulalikum	4	Positive
1625	Tambah tajwid	Assalamuallaikum, subhanallah aplikasinya sangat bermanfaat sekali. Semoga bisa di tambah tajwid berwarna sehingga yang ingin belajar tajwid bisa lebih mudah mengerti..semoga  semua anggota tim diterima amal dan ibadahnya.terima kasih.wassallam	5	Positive
1626	Khataman bagian akhir	Alhamdulillah. Update aplikasi quranesia semakin memudahkan baik Simbol simbol dan khataman. Hanya ada sedikit masalah pada khataman, untuk bagian terakhir langsung ditandai selesai walau belum dibaca. Kemudian ada ayat yang kurang pada surat 54:20. Jazakallah developer.	4	Positive
1628	Excellent app..! Bagus banget...!	Alhamdulillah aplikasi ini sangat memudahkan penggunanya dengan fitur-fiturnya. Semoga diberkahi Alloh SWT.	5	Positive
1629	Excellent	Semoga Berkah dan Barrakah	5	Neutral
1630	Semoga jadi amal ibadah	Untuk penulis+keluarga	5	Neutral
1631	Jazakallah khair	Terimakasih bang Triadi, aplikasinya mantap, sesuai harapan saya.Alhamdulillah. Tapi di iOS 8.2, kalo udah mulai streaming, app nya crash. Udah butuh update kayanya. Salaam.	5	Positive
1632	Cool	Silahkan di download, ga akan nyesel	5	Neutral
1633	????????	Sumpah ini apps paling nyaman yang pernah ane temuin, ane selalu doain ente supaya sehat selalu??	5	Positive
1634	Wajib Download	Secara grafis menarik dan mudah dimengerti. Fitur di dalamnya juga lengkap. Sesuai dengan kebutuhan. Mungkin bisa ditambahkan feature tajwid ke depannya. Terima kasih kepada pengembang.	5	Positive
1635	mantep	sesuai kebutuhan. saya browsing dulu buat nemu aplikasi ini dan ternyata tidak mengecawakan. sayangnya tidak banyak orang yang tahu. thanks ya	4	Positive
1637	Terima kasih	Subhanallah semoga diberikan ganjaran yang setimpal bagi pembuat serta keluarganya. Amin	5	Positive
1638	Sangat bagus	"Mudah di gunakan,
Terjemahan Bahasa indonesia,
Ada audionya juga

Aplikasi Al-Qur&#39;an terbaik yang pernah saya install"	5	Positive
1639	Perfect	"Sebelumnya saya ucapkan makasih banyak..semoga anda mendapat pahala yg melimpah sudah membuat Alquran ini..
Review saya ini aplikasi udah bagus banget dr segi tampilannya..tp setiap saya download suara alqurannya masih mental om..trus kalo bsa lagi di baca plus suaranya bikin otomatis jalan atau mengulang om..mksh ya om sebelumnya.."	5	Positive
